trade_id,datetime,asset,direction,amount,expiry,outcome,pnl,balance_before,balance_after
14146806592,2026-08-08 15:41:59.261396,EURUSD-OTC,call,38.61,1,loss,-38.0,19303.57,19265.57
14146807964,2026-08-08 15:42:59.664684,EURUSD-OTC,put,38.53,1,loss,-38.0,19265.57,19227.57
14146919055,2026-08-08 16:58:59.310714,EURUSD-OTC,put,38.33,1,win,33.06,19164.87,19197.93
14146919056,2026-08-08 16:58:59.310946,ETHUSD-OTC,call,38.33,1,win,33.06,19164.87,19197.93
14146920425,2026-08-08 16:59:59.618980,ETHUSD-OTC,call,38.46,1,loss,-38.0,19230.99,19192.99
14146920438,2026-08-08 16:59:59.690382,EURUSD-OTC,put,38.46,1,win,33.06,19230.99,19264.050000000003
14146921699,2026-08-08 17:00:59.428144,ETHUSD-OTC,put,38.45,1,win,33.06,19226.050000000003,19259.110000000004
14146921700,2026-08-08 17:00:59.490502,EURUSD-OTC,put,38.45,1,loss,-38.0,19226.050000000003,19188.050000000003
14146923256,2026-08-08 17:01:59.684152,EURUSD-OTC,call,38.44,1,loss,-38.0,19221.110000000004,19183.110000000004
14146923247,2026-08-08 17:01:59.901215,ETHUSD-OTC,put,38.44,1,loss,-38.0,19221.110000000004,19183.110000000004
14146924500,2026-08-08 17:02:59.735000,EURUSD-OTC,put,38.29,1,loss,-38.0,19145.110000000004,19107.110000000004
14146924501,2026-08-08 17:02:59.736298,ETHUSD-OTC,call,38.29,1,loss,-38.0,19145.110000000004,19107.110000000004
